latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,condition
1.8475362,2.8167963,-0.32215095,3.204734,1.8419701,3.5162067,2.1969934,-1.2204137,0.8229768,3.4467926,-0.20500478,0.8805396,-3.9204478,1.9296075,1.4366763,0.97183955,0.09013669,-1.3523449,-1.100606,0.65042514,3.4992435,-0.31641355,-0.7598538,1.5918341,-0.846655,1.6206598,0.118685566,-0.6035008,2.9039927,0.71060795,1.8037325,2.482107,AKI
-0.9060938,-3.0075614,-0.7699964,1.0066537,-1.2535794,-3.569309,-0.024704896,1.5745449,-1.8491135,-1.89242,-0.93788296,0.48784196,0.5719046,-0.7887939,0.7212815,-2.7364967,1.1557052,1.6348423,2.0563061,1.7627889,-0.17360407,2.5852215,1.4681374,1.6854956,-1.2735385,0.31322065,0.8282808,2.82045,-4.2674956,3.8810263,1.8234011,-2.088678,AKI
1.0796413,1.3241253,-0.20182544,1.2512678,0.6719835,1.4492043,0.8207488,-0.5045395,0.29029277,0.8180357,0.4963453,0.24433692,-2.2708752,0.68586415,0.31938732,0.06538535,0.030410472,-0.905188,0.13581431,0.29483864,1.9360034,0.32935947,0.16061424,1.0887604,-0.21970212,0.9424021,0.53721046,-0.7789705,0.70882684,0.6969508,0.34688565,1.2494167,AKI
0.47950274,1.1147861,-0.7944832,0.96241295,0.8930765,0.661625,1.7560908,-0.13589762,-1.131961,1.8474675,-0.34552655,1.2925386,-0.6895734,1.2074853,1.6850455,1.0565184,0.4279858,0.45655823,0.02831135,0.689832,2.204833,0.031606644,-0.4703511,0.22061053,-0.680985,-0.6044518,-0.8408092,-0.049587384,1.6843382,0.45131516,0.85119134,-0.035899952,CKD
0.40934718,-0.8822272,-1.2539443,-0.59365165,0.31725407,-1.6254215,-0.11118001,1.6334358,-0.2544799,0.058102414,-0.23320058,1.7436837,0.9448443,0.97388345,-0.60464984,-0.1649037,1.3650419,1.397473,1.7427813,1.7415437,1.6093001,0.16756952,-0.45247668,-0.66475296,-0.35581404,-0.336132,-0.4149883,0.17507228,-1.3205092,0.72475415,0.7372573,-0.8678371,Normal
-0.09085816,-1.971817,-0.93014026,-0.11572084,-0.6465895,-2.328254,0.28109562,1.2998388,-1.093191,-0.88303876,-0.73708665,1.1728369,1.2216936,-0.12129227,0.30487242,-1.4572585,1.1744581,1.2142675,1.8750308,1.3299297,0.67263156,1.6005223,0.64298266,0.63247824,-0.82356477,-0.40794036,0.09766166,1.1313392,-2.4890604,2.0306551,0.7802711,-1.5143784,CKD
-4.1339855,-0.06531578,1.7525944,-1.1430761,1.8454143,-1.2158171,-1.640591,-0.2239441,-2.2356253,1.1801287,0.8453103,1.53732,0.50965536,-0.018128669,1.1075712,0.41308784,0.112005964,1.893043,1.2456933,1.2252663,1.3587373,-1.3269145,1.0975333,-1.9091454,-0.3171734,-0.6272382,-1.45881,2.8259654,1.0941566,0.65405923,2.291216,-3.1450133,Normal
-3.0710585,2.1194744,1.9074864,0.019798022,1.9522063,1.5251378,-1.6843398,-1.9687713,-3.1421154,2.4693453,0.04672906,1.8197368,0.85349375,-0.10549262,1.7572662,1.0718786,-1.51883,1.3061221,1.3206507,0.7403958,1.5655155,-1.8911674,0.408199,-2.8578355,0.6994576,-0.37542075,-2.083344,2.1951237,3.6122997,-0.602458,0.96025366,-2.5650506,Normal
1.0911,-0.15822183,-1.2816942,-0.4861559,-0.60471606,0.014005454,0.41487858,0.014826098,-0.3875026,-0.39209855,-0.97528666,1.0547854,0.37543225,0.19637507,0.23631912,-0.97482514,0.5659797,0.071613505,1.3686769,-0.027336277,1.1045822,1.383038,0.30113187,0.6379419,0.07177588,0.5633009,-0.30852965,-0.37223014,-0.68931454,1.1190284,-0.31009406,-0.7308597,CKD
0.3878219,-0.115809515,-1.0919305,-0.44014537,-0.5016362,-0.26802212,-0.22446914,-0.08930796,-1.0398723,-0.17240968,-0.9649345,1.1820636,0.9166351,0.0835707,0.40370545,-0.7463334,0.2770995,0.47202206,1.5586679,0.14288944,0.8289386,0.9583892,0.40230256,-0.08315403,0.18141878,0.26450664,-0.6388537,0.20895211,-0.32619542,0.98065084,-0.24187103,-1.3406366,CKD
