gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
RPS2,3.9600467681884766,2.9561831951141357,4.722151279449463
TPT1,13.729378700256348,11.083414077758789,20.04804229736328
RPL9,5.444174766540527,4.882389068603516,7.884034633636475
GABARAP,0.4009561240673065,0.8796679973602295,0.3691227436065674
MT2A,5.57014799118042,3.519190788269043,10.95124626159668
ECHS1,1.1076257228851318,1.2444416284561157,1.6562094688415527
COX6B1,3.8280341625213623,3.322824716567993,5.968883991241455
PTMS,1.2581034898757935,1.406291127204895,1.64463472366333
CDC42,1.4943434000015259,1.5690827369689941,1.6172436475753784
GATM,0.9246916770935059,1.4910082817077637,2.577939987182617
RPLP2,4.192216873168945,3.1608505249023438,4.482251167297363
RPL18A,8.750083923339844,6.584162712097168,8.495030403137207
RPL23A,3.515782117843628,3.094895362854004,4.961599826812744
RPS27A,11.723468780517578,10.463478088378906,14.620095252990723
RNASEK,0.17116494476795197,0.817314088344574,0.07739417254924774
DDX5,1.4702686071395874,1.3995417356491089,2.4365923404693604
RPS15A,8.636364936828613,7.457398414611816,9.495474815368652
RPSA,2.7557787895202637,2.17294979095459,3.0967681407928467
PPDPF,3.4971811771392822,3.828066349029541,4.715583801269531
CTNNB1,0.6224005222320557,0.7626018524169922,0.6511139869689941
CLU,4.102827072143555,5.065258026123047,2.4193997383117676
RPL38,3.0389764308929443,2.808516502380371,4.677919864654541
ATP5E,0.9631381630897522,1.7862732410430908,3.591529369354248
PFDN5,3.7774922847747803,3.664616107940674,5.079976558685303
APP,2.2440664768218994,2.4719443321228027,2.4835927486419678
SNHG29,0.15962475538253784,0.802530825138092,0.0
ATP5I,0.576532244682312,0.8095663189888,2.5074167251586914
MT1E,2.5532219409942627,1.869272232055664,4.0756072998046875
EEF1D,2.6167054176330566,2.0802693367004395,2.937955617904663
PIGR,1.9437092542648315,1.917300820350647,0.8435446619987488
PHPT1,1.5636180639266968,1.4525067806243896,2.0998785495758057
RPL7,2.6202430725097656,2.245361089706421,3.6282920837402344
PTMA,8.46814250946045,8.045995712280273,10.01091194152832
COX4I1,3.698406934738159,3.246384382247925,5.345616817474365
MYL12B,3.255906820297241,2.859510660171509,4.075436592102051
CD81,2.6661503314971924,2.784853458404541,3.0605356693267822
CKB,1.720635175704956,1.909494400024414,4.328885555267334
ATP5MPL,1.7163337469100952,1.3367950916290283,1.5771679878234863
CTSD,4.249114036560059,3.7775211334228516,4.053312301635742
EEF1G,0.1642591804265976,0.5510647296905518,0.04365368187427521
RPL5,4.832983016967773,4.304742336273193,6.781014442443848
PCSK1N,1.96173095703125,2.5475914478302,1.982586145401001
NDUFA3,1.6551470756530762,1.5899893045425415,3.049267530441284
TMEM59,2.3399901390075684,2.633683443069458,3.0656304359436035
GLS,1.0781875848770142,1.0582938194274902,1.0735762119293213
NME2,0.20117920637130737,0.665513277053833,0.05363931134343147
CD46,0.8591723442077637,1.0962917804718018,1.1085964441299438
RPL34,11.395726203918457,10.732165336608887,15.80759048461914
NDUFA1,2.3637969493865967,2.4247491359710693,4.557007312774658
DUSP1,0.8725512623786926,0.9578354358673096,3.1108007431030273
ZNF503,0.2587873637676239,0.3796302378177643,0.3362673819065094
CXCL14,1.7598612308502197,1.9088129997253418,1.613854169845581
RPL3,9.368581771850586,8.582441329956055,12.068532943725586
IGLL5,0.029617302119731903,0.240736722946167,0.000750000006519258
COX8A,3.5721311569213867,3.654876947402954,7.000619888305664
SELENOP,0.8624889254570007,0.9946850538253784,1.0330710411071777
ATPIF1,0.22703416645526886,0.7719991207122803,1.6947871446609497
TMEM213,0.6158716082572937,1.3890548944473267,1.9554849863052368
UQCRB,3.8923585414886475,3.478095769882202,6.4762468338012695
DCXR,0.9305692315101624,0.9484599828720093,1.892713189125061
COX6C,2.949218988418579,3.2278852462768555,6.2613205909729
TMA7,2.9032154083251953,2.821504831314087,5.0210981369018555
DDT,1.6150583028793335,1.6116994619369507,2.3595638275146484
SLC25A6,1.7321374416351318,1.622328758239746,2.8536012172698975
PTGES3,1.0251774787902832,1.1082369089126587,1.4872663021087646
EDF1,2.607283115386963,2.336268663406372,3.189004898071289
RPL24,7.137745380401611,6.493564605712891,10.259597778320312
ARRDC3,0.2909477651119232,0.3657757043838501,0.30441907048225403
RPL6,5.073641777038574,4.449759006500244,7.215991973876953
CSTB,1.8238718509674072,1.4365971088409424,1.9219895601272583
MORF4L1,1.2224057912826538,1.3091250658035278,1.6883095502853394
CALM1,1.7303475141525269,1.7136656045913696,2.65161395072937
BCAM,1.892881989479065,1.6009129285812378,1.942180871963501
HLA-DRA,3.4810237884521484,2.304572343826294,2.437894582748413
IL6ST,0.5480825304985046,0.6542537212371826,0.9812123775482178
CSDE1,0.6914086937904358,0.8453149795532227,1.0770405530929565
SOX4,1.1385830640792847,1.03568696975708,0.910147488117218
BTG1,0.7562673091888428,0.8946766257286072,1.4919910430908203
C12orf75,1.7409274578094482,1.434573769569397,1.7427575588226318
EIF1,5.690066337585449,5.183477401733398,10.266253471374512
NFKBIA,0.409422367811203,0.3091058135032654,1.1356264352798462
HERPUD1,0.6121506094932556,0.7010158896446228,1.6566574573516846
UBA52,4.083661079406738,3.2153422832489014,4.597448348999023
HLA-E,1.1185132265090942,1.002364993095398,1.7278268337249756
JUNB,1.4179620742797852,1.640872836112976,3.51297664642334
ATP5PD,1.1756294965744019,0.8285969495773315,1.4326428174972534
WDR83OS,1.3777613639831543,1.3899215459823608,1.7101365327835083
AQP2,2.244284152984619,4.118872165679932,4.789527893066406
PDZK1IP1,3.0039687156677246,1.5082132816314697,2.3094868659973145
GPX3,3.5649406909942627,3.2507550716400146,8.768949508666992
NDUFB1,1.7736772298812866,1.7775408029556274,3.781036615371704
TSC22D3,0.2989480197429657,0.2507933974266052,1.1261364221572876
SH3BGRL,0.6507590413093567,0.7630972862243652,1.0573551654815674
ENO1,2.4220011234283447,2.1861581802368164,2.642361879348755
PTH1R,0.7985578775405884,0.8691360950469971,1.4759433269500732
CLDN10,0.7621497511863708,1.2115334272384644,1.1278363466262817
SRP9,1.1054309606552124,1.1622114181518555,1.5588595867156982
RPS17,0.33057597279548645,0.46006494760513306,0.33193424344062805
AURKAIP1,1.2333626747131348,1.0762184858322144,1.7328569889068604
TMEM14C,0.8603861331939697,0.9695399403572083,1.2075169086456299
PDK4,0.1152285784482956,0.13168907165527344,2.512911558151245
FKBP5,0.06973075866699219,0.06240617111325264,0.7138399481773376
EGR1,0.21787308156490326,0.419288694858551,2.199254035949707
NR4A1,0.07843757420778275,0.08655613660812378,2.2493929862976074
GADD45A,0.21481327712535858,0.2396838217973709,1.1366156339645386
KLF9,0.1118268147110939,0.14403875172138214,0.8122116923332214
KLF6,0.44353950023651123,0.38894689083099365,2.0072202682495117
ERRFI1,0.04724036902189255,0.05294124782085419,0.5822716355323792
USP2,0.059324271976947784,0.0858980044722557,0.6142199635505676
KLK1,0.034004632383584976,0.18711857497692108,4.181734561920166
GNB2L1,0.37780362367630005,0.9002408385276794,2.271742105484009
NDUFC1,1.659844160079956,1.8665419816970825,3.245302677154541
SGK1,0.26972612738609314,0.2260863333940506,1.357216715812683
TNFRSF12A,0.7010897397994995,0.506500244140625,1.61665940284729
HIST1H4C,0.6700255870819092,0.9964277148246765,1.7363075017929077
RPL4,1.6870282888412476,1.5109535455703735,2.4658846855163574
GSTA1,0.33094069361686707,0.525474488735199,2.1046602725982666
KRT18,1.6336753368377686,1.3481985330581665,3.183072805404663
MINOS1,1.6709872484207153,1.4201240539550781,3.164076566696167
FOS,1.9850825071334839,2.3123257160186768,5.702174663543701
MIOX,0.43989384174346924,0.9159658551216125,2.3527791500091553
ZFP36,0.5948241353034973,0.6529269814491272,2.669618606567383
RHOBTB3,0.30525311827659607,0.4276069104671478,1.146195411682129
EGF,0.18929706513881683,0.4329448938369751,1.2563083171844482
SLC12A1,4.403957843780518,5.542455196380615,6.52483606338501
SEPP1,0.12517409026622772,0.38721442222595215,1.3013429641723633
YBX1,1.875528335571289,1.5937751531600952,2.262801170349121
GHITM,0.8949054479598999,0.8766652941703796,1.3545336723327637
DPEP1,0.18249714374542236,0.17989276349544525,0.6953490972518921
TOB1,0.29264745116233826,0.37007734179496765,1.0115647315979004
CD9,2.267911195755005,3.264277696609497,4.446809768676758
DHRS3,0.16325144469738007,0.2107389271259308,0.5380834937095642
