gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
ISCU,CKD,0.0074058515,5.7401236647351075,490,300,358
EIF2S3,CKD,0.0073420946,0.6708497760197488,1838,300,359
SLC22A2,CKD,0.007308816,1.195133900568948,1250,300,360
SET,CKD,0.0072907703,2.3803127020101886,814,300,361
NDUFC1,CKD,0.007280253,11.297230243377335,345,300,362
CAMK2N1,CKD,0.007278349,7.335472441137187,436,300,363
PCBP2,CKD,0.0072682365,5.374080911036369,508,300,364
STC1,CKD,0.00724391,23.525838461496026,227,300,365
PARK7,CKD,0.007241493,5.06261197231256,524,300,366
ATP6V1G1,CKD,0.007232359,8.123942564878467,416,300,367
PAX2,CKD,0.0072207698,0.4837453108273127,2325,300,368
EIF4G2,CKD,0.007218462,2.6354945379457906,768,300,369
NHP2,CKD,0.0072147534,1.295968878532424,1183,300,370
CDH16,CKD,0.007175772,16.97364966140164,266,300,371
MXD4,CKD,0.0071677947,0.6824531745060349,1817,300,372
SEPP1,CKD,0.0071557853,3.661605011329219,636,300,373
M6PR,CKD,0.007127312,0.48230245917221276,2335,300,374
S100A2,CKD,0.007119608,550.3244843952272,29,300,375
SMIM14,CKD,0.007111527,0.6448830705311981,1895,300,376
TSC22D1,CKD,0.0071106697,10.2333185970177,367,300,377
RPS9,CKD,0.007103304,79.21457372287585,115,300,378
SF3B5,CKD,0.007101033,1.707191473944248,1003,300,379
ROMO1,CKD,0.0070988378,3.3342818650377986,662,300,380
ZFP36L2,CKD,0.0070916503,5.455755006038595,503,300,381
C4orf3,CKD,0.007086288,2.802185670839271,735,300,382
RPL19,CKD,0.007084904,153.07189947646458,75,300,383
CCNI,CKD,0.007071984,4.01269773583194,605,300,384
ALDH2,CKD,0.007063255,1.5971431083856242,1039,300,385
PAM,CKD,0.007060884,0.44790938678702685,2459,300,386
YBX3,CKD,0.0070427973,1.133518221069231,1286,300,387
PABPC1,CKD,0.0070139,1.9047761131152194,928,300,388
PKM,CKD,0.0069961403,10.895610144789844,356,300,389
TGOLN2,CKD,0.006962695,1.4369960271614257,1114,300,390
RPL18,CKD,0.0069083124,77.05545182265737,116,300,391
AK3,CKD,0.006904969,0.9313024705870492,1458,300,392
MGLL,CKD,0.006890496,0.8409198885341964,1568,300,393
GSTA1,CKD,0.0068887854,14.38591426874117,291,300,394
GHITM,CKD,0.0068749753,2.7119356237530963,751,300,395
KRT8,CKD,0.0068745175,13.838867234588966,302,300,396
CALM2,CKD,0.0068479395,23.70250313381202,224,300,397
NME3,CKD,0.006837757,1.6736019214836642,1011,300,398
C14orf2,CKD,0.006836242,5.206550015222846,519,300,399
HSP90AA1,CKD,0.006829994,45.63364547855531,154,300,400
EIF1AX,CKD,0.0068273735,1.4196194396633295,1120,300,401
PNISR,CKD,0.0068079457,1.6903517313578953,1007,300,402
DYNLL1,CKD,0.0068063093,17.131284928563435,264,300,403
MCL1,CKD,0.006784342,0.7619564474366138,1679,300,404
PCBP1,CKD,0.0067786416,2.15100298763614,861,300,405
WSB1,CKD,0.0067554726,4.5505321584025,560,300,406
EIF5A,CKD,0.0067517557,1.5995200804793712,1037,300,407
LMNA,CKD,0.006748333,2.552805515334999,783,300,408
EID1,CKD,0.0067439093,3.5736786097883266,645,300,409
ARID1B,CKD,0.0067417147,0.3853833746918591,2754,300,410
HMGN2,CKD,0.006725107,3.4535828712770233,651,300,411
KLF9,CKD,0.006703208,0.9272023014279261,1463,300,412
HSBP1,CKD,0.0066979383,5.297945482562589,515,300,413
UQCR11.1,CKD,0.0066952202,9.943120821566197,378,300,414
APOE,CKD,0.0066825105,271.921707505733,50,300,415
SUMF2,CKD,0.006669414,0.4533753492261939,2449,300,416
TRPM7,CKD,0.006659299,0.578438344153018,2060,300,417
WTAP,CKD,0.0066520977,0.7240279126821039,1744,300,418
MCCD1,CKD,0.006648128,0.8978132864459721,1493,300,419
VPS29,CKD,0.0066454965,1.7842925189387429,971,300,420
IFITM2,CKD,0.0066356314,4.16914948860623,591,300,421
HIST1H4C,CKD,0.006625191,7.912362820362494,419,300,422
SEPT7,CKD,0.0066211047,1.1793869251462938,1262,300,423
FIS1,CKD,0.0065999236,5.54677731823063,498,300,424
SEC14L1,CKD,0.0065917657,1.6703779646354133,1012,300,425
LDHA,CKD,0.00658254,6.8122153418809495,453,300,426
NUCB1,CKD,0.0065519977,0.8016178760929419,1620,300,427
CAPZA2,CKD,0.006543194,1.5675547589044654,1051,300,428
TIMP3,CKD,0.0065431343,46.13608021753289,153,300,429
NEDD8,CKD,0.006533243,4.544766352901385,561,300,430
MPC2,CKD,0.006532302,4.449546661569239,569,300,431
NFIA,CKD,0.006531074,0.6348413425798796,1920,300,432
UQCR10,CKD,0.0065234927,21.631425271256596,236,300,433
ITGB6,CKD,0.0065176715,3.675248239939443,634,300,434
MDM4,CKD,0.006515914,0.5940098752286882,2017,300,435
MT-ND6,CKD,0.0064997626,2.6289364226169707,769,300,436
IFI27,CKD,0.0064947978,13.330121045240507,309,300,437
HNRNPD,CKD,0.006493082,0.8641613196572185,1531,300,438
PRDX1,CKD,0.0064926143,29.825036508398,195,300,439
PET100,CKD,0.00649184,2.337491345309431,824,300,440
LIFR,CKD,0.0064854724,0.8720385362485118,1520,300,441
SYNE2,CKD,0.006483454,3.9182968565493796,613,300,442
KIAA1109,CKD,0.0064652767,0.5248891180101235,2195,300,443
TPD52L1,CKD,0.006440061,0.45602660243282656,2438,300,444
PTGER3,CKD,0.006437997,4.772740886309316,542,300,445
GSTT1,CKD,0.006427481,0.432981305225456,2530,300,446
PPIC,CKD,0.006393732,0.9408469821636385,1449,300,447
GADD45A,CKD,0.0063870894,2.360959439935972,818,300,448
RNF213,CKD,0.006371217,0.9426841439476357,1445,300,449
VIM,CKD,0.006368397,29.478043733439616,198,300,450
HMGB1,CKD,0.0063669276,9.094994320253061,395,300,451
SOX18,CKD,0.0063627893,0.7313070635125589,1727,300,452
FOS,CKD,0.0063301115,67.78391533855623,129,300,453
SERINC2,CKD,0.0063241213,1.160338818518646,1275,300,454
METTL7A,CKD,0.006323132,1.3123394094920675,1176,300,455
