gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
SERPING1,Normal,0.013939551,2.7695536466963446,742,300,438
ISOC2,Normal,0.013932872,0.7622396951477198,1678,300,439
ADI1,Normal,0.01389055,3.9186216593943097,612,300,440
FTCD,Normal,0.013850361,1.122292768170693,1293,300,441
AKAP9,Normal,0.013823741,1.4006338580432716,1135,300,442
DDX18,Normal,0.013744955,0.4540282960446653,2445,300,443
SERBP1,Normal,0.013732964,1.4594365619940293,1099,300,444
SNRPD1,Normal,0.013722438,0.8584351708354283,1542,300,445
AZGP1,Normal,0.013715593,0.3733969789871734,2809,300,446
CYR61,Normal,0.013683397,3.3386656859731523,660,300,447
GPX3,Normal,0.01368286,310.44954083716715,44,300,448
COX8A,Normal,0.013671428,46.70160383911567,151,300,449
COA3,Normal,0.01366978,5.531109007434724,499,300,450
OCIAD2,Normal,0.013655357,7.24995533853747,438,300,451
GSTA2,Normal,0.013646553,11.42388289674458,343,300,452
ZNF503,Normal,0.013636268,0.7361014395624519,1717,300,453
YWHAB,Normal,0.013634283,3.040974161463661,699,300,454
GABARAP,Normal,0.013632541,2.5673743704859286,779,300,455
LDHB,Normal,0.013627235,41.758129311824575,160,300,456
TPI1,Normal,0.013620445,9.988854954763841,375,300,457
