cell_type,class,gene,combined_score,importance,target_minus_others_mean,abs_target_minus_others_mean,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref
DCT,AKI,CD151,0.02511053795180085,0.029876538,0.8404768407344818,0.8404768407344818,1.3385961,0.4400559,0.5561826
DCT,AKI,OGA,0.025098191352666444,0.053132385,0.4723708778619766,0.4723708778619766,0.76223516,0.3433313,0.23639727
DCT,AKI,FOS,0.024979500029526314,0.030508444,-0.8187733292579651,0.8187733292579651,1.5225219,1.3327116,3.3498788
DCT,AKI,TMBIM4,0.024979339127503053,0.032568287,0.7669835090637207,0.7669835090637207,1.3909448,0.6384446,0.60947806
DCT,AKI,CALM2,0.02494654742657154,0.03202464,0.7789797782897949,0.7789797782897949,4.865532,2.7352376,5.4378667
DCT,AKI,RPS15,0.024745418521853413,0.031219421,0.7926290035247803,0.7926290035247803,9.036485,4.9383903,11.549321
DCT,AKI,SRP14,0.024704998088315167,0.023704207,1.0422199964523315,1.0422199964523315,6.5426407,3.1218455,7.878996
DCT,AKI,MARCKSL1,0.024509661354534668,0.043772105,0.5599379166960716,0.5599379166960716,0.66227967,0.084792875,0.11989062
DCT,AKI,RPS6,0.02446433774339063,0.03314577,0.7380832433700562,0.7380832433700562,6.919756,3.5399535,8.823392
DCT,AKI,DPY19L2,0.024133593375911033,0.11205652,0.2153698205947876,0.2153698205947876,0.44551504,0.19702935,0.26326108
DCT,AKI,TRPM6,0.024045082930216344,0.05099181,-0.471547931432724,0.471547931432724,0.15884791,0.34371355,0.91707814
DCT,AKI,DUSP1,0.023877527485614336,0.029199416,-0.8177399039268494,0.8177399039268494,0.82263243,0.61936414,2.6613805
DCT,AKI,ATP5MG,0.02368998293220742,0.0060113133,3.9408997297286987,3.9408997297286987,6.942131,1.9012902,4.1011724
DCT,AKI,LLGL2,0.023635276032933916,0.049000904,0.4823436737060547,0.4823436737060547,1.082599,0.41937733,0.7811334
DCT,AKI,AHCYL1,0.02360516157829784,0.048780847,-0.483902245759964,0.483902245759964,1.0206743,0.8727184,2.1364348
DCT,AKI,MT1F,0.02336546486327079,0.026062274,0.8965243995189667,0.8965243995189667,1.8478868,0.8077206,1.0950042
DCT,AKI,PPIA,0.022863425701099782,0.015161165,1.5080256462097168,1.5080256462097168,6.7896686,3.323298,7.239988
DCT,AKI,MMP7,0.022852104576221825,0.025037622,0.9127106601372361,0.9127106601372361,1.0087757,0.16916475,0.022965355
DCT,AKI,ATP5F1E,0.022826675299296995,0.004963637,4.598780274391174,4.598780274391174,8.382847,2.7656987,4.8024344
DCT,AKI,CTSA,0.02272430984881335,0.04679406,0.4856238067150116,0.4856238067150116,1.1495326,0.45735353,0.87046397
DCT,AKI,PPDPF,0.022689124747826694,0.012647658,1.7939388751983643,1.7939388751983643,6.6116366,3.2791553,6.3562403
DCT,AKI,MTRNR2L8,0.02267317885585974,0.018416097,-1.2311608903110027,1.2311608903110027,0.27745435,0.07255527,2.9446752
DCT,AKI,IER2,0.022517880608448948,0.035178967,-0.6400949954986572,0.6400949954986572,0.9646964,0.967942,2.2416408
DCT,CKD,MT-ND3,10.560154033652765,0.058393065,-180.84603118896484,180.84603118896484,189.78166,150.70975,473.3299
DCT,CKD,MT-CO2,9.90880909760125,0.05324311,-186.10499572753906,186.10499572753906,238.21295,149.21342,432.4239
DCT,CKD,MALAT1,7.016889862423739,0.050289158,-139.53086853027344,139.53086853027344,164.33507,107.60673,329.94012
DCT,CKD,MT-ATP6,5.740885688007097,0.05894436,-97.3949966430664,97.3949966430664,140.83736,88.689964,231.33257
DCT,CKD,MT-CYB,5.471599142234396,0.069463305,-78.76963424682617,78.76963424682617,81.541626,50.362713,176.72307
DCT,CKD,MT-CO3,3.871689964958321,0.029748568,-130.14710235595703,130.14710235595703,182.49068,125.15074,328.105
DCT,CKD,MT-ND4,2.315601373928473,0.03157189,-73.34376525878906,73.34376525878906,136.3571,93.854385,198.0392
DCT,CKD,MT-ND1,2.2944325078041956,0.034829404,-65.87630653381348,65.87630653381348,52.898746,37.658318,154.1705
DCT,CKD,MT-ND2,1.3984115712734422,0.022717325,-61.55705261230469,61.55705261230469,57.121506,45.923218,157.83904
DCT,CKD,MT-ND5,0.9746768805328543,0.07604605,-12.816929817199707,12.816929817199707,22.590296,22.450237,47.94404
DCT,CKD,MT-CO1,0.8186855273540061,0.0037647504,-217.4607696533203,217.4607696533203,305.42166,189.436,508.3719
DCT,CKD,SLC12A3,0.8040626977133289,0.05640893,-14.254173755645752,14.254173755645752,13.569116,10.419815,35.778862
DCT,CKD,FXYD2,0.7808441281858549,0.036810454,-21.21256446838379,21.21256446838379,32.332474,31.163492,72.41964
DCT,CKD,SPP1,0.6992982216702011,0.016116614,-43.3898983001709,43.3898983001709,96.592094,29.662405,49.512512
DCT,CKD,IGFBP7,0.6041275553802663,0.03407475,-17.72947883605957,17.72947883605957,38.77157,13.097249,22.881887
DCT,CKD,ATP1A1,0.49827396359478726,0.04717469,-10.562315940856934,10.562315940856934,16.232492,8.138883,21.169905
DCT,CKD,DEFB1,0.4022577278412598,0.0057935133,-69.43243408203125,69.43243408203125,73.634705,67.74938,200.72893
DCT,CKD,TMEM52B,0.3973383469815417,0.043995347,-9.0313720703125,9.0313720703125,15.466675,11.053275,24.70262
DCT,CKD,COX6B1,0.3193601685014533,0.052337784,-6.101904630661011,6.101904630661011,7.953806,3.3355663,10.921136
DCT,CKD,MT-ND4L,0.2634166265318072,0.088094324,-2.9901657104492188,2.9901657104492188,22.403568,28.033514,39.64379
DCT,CKD,FTL,0.2622451956075178,0.029234562,-8.97038221359253,8.97038221359253,12.349859,6.4844174,18.55974
DCT,CKD,RPS28,0.2619218111217947,0.026298463,-9.959586143493652,9.959586143493652,13.627996,7.5214205,21.334017
DCT,CKD,UQCRB,0.23444882666444578,0.03801524,-6.1672327518463135,6.1672327518463135,8.101252,3.2105882,10.65439
DCT,CKD,TMA7,0.2230786583163038,0.05273159,-4.2304558753967285,4.2304558753967285,5.5279226,2.4919944,7.916978
DCT,CKD,RPL14,0.2036139228809697,0.05327983,-3.8215949535369873,3.8215949535369873,5.550655,2.5548668,7.2022686
DCT,CKD,COX7C,0.20224398091684748,0.021039069,-9.612782001495361,9.612782001495361,11.241167,5.1381764,18.26075
DCT,CKD,RPL19,0.1940869986103344,0.030891635,-6.282833576202393,6.282833576202393,9.208932,3.9434972,11.24373
DCT,CKD,UBB,0.18590560369061393,0.052935287,-3.5119409561157227,3.5119409561157227,5.085947,2.5060718,6.9500785
DCT,CKD,EEF1A1,0.18590026443033025,0.012656434,-14.688201904296875,14.688201904296875,24.315529,10.6442175,26.34931
DCT,CKD,ATP1B1,0.178780088731898,0.014406508,-12.409675598144531,12.409675598144531,25.949978,22.088305,43.045982
DCT,CKD,TPT1,0.1780475983142331,0.023210378,-7.67103385925293,7.67103385925293,12.193731,5.242663,13.633662
